,sa2_name16, sa2_code_2016, median_aud,income_level
266,West Footscray - Tottenham,213031351,41060.0,2.0
267,Braybrook,213031347,36267.0,1.0
268,Footscray,213031348,35892.0,1.0
269,Maribyrnong,213031349,44859.0,2.0
270,Seddon - Kingsville,213031350,49316.0,3.0
271,Yarraville,213031352,51803.0,3.0
272,Bacchus Marsh,213041353,42331.0,2.0
273,Hillside,213041355,44002.0,2.0
274,Melton,213041356,40702.0,2.0
275,Melton South,213041357,40932.0,2.0
276,Melton West,213041358,43406.0,2.0
277,Rockbank - Mount Cottrell,213041359,37747.0,1.0
278,Taylors Hill,213041360,46129.0,3.0
279,Burnside,213041461,42667.0,2.0
280,Hoppers Crossing - South,213051362,41112.0,2.0
281,Burnside Heights,213041462,45939.0,3.0
282,Caroline Springs,213041463,47548.0,3.0
283,Hoppers Crossing - North,213051361,41858.0,2.0
284,Laverton,213051363,37038.0,1.0
285,Tarneit,213051365,45539.0,3.0
286,Truganina,213051366,46055.0,3.0
287,Werribee - South,213051368,41355.0,2.0
288,Wyndham Vale,213051369,45369.0,3.0
289,Point Cook - East,213051464,55149.0,3.0
290,Point Cook - North,213051465,50463.0,3.0
291,Werribee - East,213051467,40270.0,2.0
292,Werribee - West,213051468,43573.0,2.0
293,Carrum Downs,214011370,41446.0,2.0
294,Frankston,214011371,38274.0,1.0
295,Frankston North,214011372,36113.0,1.0
296,Frankston South,214011373,40351.0,2.0
297,Langwarrin,214011374,41660.0,2.0
298,Seaford (Vic.),214011375,40291.0,2.0
299,Skye - Sandhurst,214011376,45518.0,3.0
300,Dromana,214021377,32958.0,1.0
301,Flinders,214021378,37192.0,1.0
302,Hastings - Somers,214021379,37453.0,1.0
303,Mornington,214021380,37809.0,1.0
304,Mount Eliza,214021381,43164.0,2.0
305,Mount Martha,214021382,39321.0,1.0
306,Point Nepean,214021383,31802.0,1.0
307,Rosebud - McCrae,214021384,31093.0,1.0
308,Somerville,214021385,39512.0,1.0
